X.YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
2024,06,12,17,45,MM,0.0,MM,MM,MM,MM,MM,1015.0,19.1,MM,17.3,MM,MM,MM
2024,06,12,17,30,MM,0.0,MM,MM,MM,MM,MM,1016.0,18.9,MM,17.1,MM,MM,MM
2024,06,12,17,15,90,0.5,MM,MM,MM,MM,MM,1016.0,18.3,MM,16.8,MM,MM,MM
2024,06,12,17,00,MM,0.0,MM,MM,MM,MM,MM,1016.0,17.7,MM,16.2,MM,-0.0,MM
2024,06,12,16,45,220,1.5,MM,MM,MM,MM,MM,1016.0,17.9,MM,16.4,MM,MM,MM
2024,06,12,16,30,290,1.0,MM,MM,MM,MM,MM,1016.0,18.6,MM,15.9,MM,MM,MM
2024,06,12,16,15,310,1.5,MM,MM,MM,MM,MM,1016.0,20.2,MM,15.3,MM,MM,MM
2024,06,12,16,00,90,1.0,MM,MM,MM,MM,MM,1016.0,22.0,MM,16.8,MM,-0.0,MM
2024,06,12,15,45,110,1.5,MM,MM,MM,MM,MM,1015.0,22.8,MM,16.9,MM,MM,MM
2024,06,12,15,30,130,1.5,MM,MM,MM,MM,MM,1016.0,22.5,MM,17.1,MM,MM,MM
2024,06,12,15,15,80,2.6,MM,MM,MM,MM,MM,1015.0,22.5,MM,17.3,MM,MM,MM
2024,06,12,15,00,90,2.1,MM,MM,MM,MM,MM,1015.0,22.4,MM,17.0,MM,-1.0,MM
2024,06,12,14,45,90,2.1,MM,MM,MM,MM,MM,1016.0,22.7,MM,17.3,MM,MM,MM
2024,06,12,14,30,170,1.0,MM,MM,MM,MM,MM,1016.0,21.7,MM,16.5,MM,MM,MM
2024,06,12,14,15,280,1.5,MM,MM,MM,MM,MM,1016.0,21.4,MM,16.3,MM,MM,MM
2024,06,12,14,00,260,1.0,MM,MM,MM,MM,MM,1016.0,21.1,MM,16.4,MM,+1.0,MM
2024,06,12,13,45,250,1.5,MM,MM,MM,MM,MM,1016.0,21.5,MM,16.8,MM,MM,MM
2024,06,12,13,30,230,1.0,MM,MM,MM,MM,MM,1016.0,20.5,MM,16.6,MM,MM,MM
2024,06,12,13,15,260,1.0,MM,MM,MM,MM,MM,1016.0,20.0,MM,16.1,MM,MM,MM
2024,06,12,13,00,230,0.5,MM,MM,MM,MM,MM,1016.0,18.9,MM,15.8,MM,+1.0,MM
2024,06,12,12,45,240,0.5,MM,MM,MM,MM,MM,1016.0,18.1,MM,15.6,MM,MM,MM
2024,06,12,12,30,260,1.0,MM,MM,MM,MM,MM,1016.0,18.3,MM,15.6,MM,MM,MM
2024,06,12,12,15,MM,0.0,MM,MM,MM,MM,MM,1016.0,17.5,MM,15.2,MM,MM,MM
2024,06,12,12,00,270,1.0,MM,MM,MM,MM,MM,1016.0,17.2,MM,15.1,MM,+1.0,MM
2024,06,12,11,45,MM,0.0,MM,MM,MM,MM,MM,1015.0,16.5,MM,14.9,MM,MM,MM
2024,06,12,11,30,MM,0.0,MM,MM,MM,MM,MM,1015.0,16.3,MM,14.7,MM,MM,MM
2024,06,12,11,15,270,0.5,MM,MM,MM,MM,MM,1015.0,16.3,MM,14.7,MM,MM,MM
2024,06,12,11,00,270,0.5,MM,MM,MM,MM,MM,1015.0,16.1,MM,14.7,MM,+0.0,MM
2024,06,12,10,45,270,0.5,MM,MM,MM,MM,MM,1015.0,15.8,MM,14.5,MM,MM,MM
2024,06,12,10,30,280,0.5,MM,MM,MM,MM,MM,1015.0,15.6,MM,14.5,MM,MM,MM
2024,06,12,10,15,290,1.0,MM,MM,MM,MM,MM,1015.0,15.5,MM,14.6,MM,MM,MM
2024,06,12,10,00,280,1.0,MM,MM,MM,MM,MM,1015.0,15.5,MM,14.7,MM,+0.0,MM
2024,06,12,09,45,280,1.0,MM,MM,MM,MM,MM,1015.0,15.1,MM,14.6,MM,MM,MM
2024,06,12,09,30,280,0.5,MM,MM,MM,MM,MM,1015.0,14.8,MM,14.3,MM,MM,MM
2024,06,12,09,15,MM,0.0,MM,MM,MM,MM,MM,1015.0,14.4,MM,13.9,MM,MM,MM
2024,06,12,09,00,MM,0.0,MM,MM,MM,MM,MM,1015.0,14.3,MM,13.8,MM,+0.0,MM
2024,06,12,08,45,MM,0.0,MM,MM,MM,MM,MM,1015.0,14.5,MM,14.0,MM,MM,MM
2024,06,12,08,30,MM,0.0,MM,MM,MM,MM,MM,1015.0,14.6,MM,14.1,MM,MM,MM
2024,06,12,08,15,MM,0.0,MM,MM,MM,MM,MM,1015.0,14.4,MM,13.9,MM,MM,MM
2024,06,12,08,00,MM,0.0,MM,MM,MM,MM,MM,1015.0,14.4,MM,13.9,MM,+0.0,MM
2024,06,12,07,45,MM,0.0,MM,MM,MM,MM,MM,1015.0,14.4,MM,13.9,MM,MM,MM
2024,06,12,07,30,MM,0.0,MM,MM,MM,MM,MM,1015.0,14.5,MM,13.9,MM,MM,MM
2024,06,12,07,15,340,0.5,MM,MM,MM,MM,MM,1015.0,14.8,MM,14.2,MM,MM,MM
2024,06,12,07,00,250,0.5,MM,MM,MM,MM,MM,1015.0,14.7,MM,14.2,MM,+0.0,MM
2024,06,12,06,45,MM,0.0,MM,MM,MM,MM,MM,1015.0,14.5,MM,14.2,MM,MM,MM
2024,06,12,06,30,MM,0.0,MM,MM,MM,MM,MM,1015.0,14.3,MM,14.0,MM,MM,MM
2024,06,12,06,15,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.9,MM,13.6,MM,MM,MM
2024,06,12,06,00,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.8,MM,13.5,MM,+1.0,MM
2024,06,12,05,45,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.7,MM,13.4,MM,MM,MM
2024,06,12,05,30,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.6,MM,13.3,MM,MM,MM
2024,06,12,05,15,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.6,MM,13.3,MM,MM,MM
2024,06,12,05,00,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.3,MM,13.0,MM,+1.0,MM
2024,06,12,04,45,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.1,MM,12.8,MM,MM,MM
2024,06,12,04,30,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.0,MM,12.7,MM,MM,MM
2024,06,12,04,15,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.0,MM,12.7,MM,MM,MM
2024,06,12,04,00,MM,0.0,MM,MM,MM,MM,MM,1015.0,13.1,MM,12.8,MM,+1.0,MM
2024,06,12,03,45,MM,0.0,MM,MM,MM,MM,MM,1015.0,12.9,MM,12.6,MM,MM,MM
2024,06,12,03,30,MM,0.0,MM,MM,MM,MM,MM,1015.0,12.4,MM,12.1,MM,MM,MM
2024,06,12,03,15,MM,0.0,MM,MM,MM,MM,MM,1015.0,11.7,MM,11.2,MM,MM,MM
2024,06,12,03,00,MM,0.0,MM,MM,MM,MM,MM,1014.0,11.9,MM,11.4,MM,+0.0,MM
2024,06,12,02,45,70,0.5,MM,MM,MM,MM,MM,1014.0,12.0,MM,11.5,MM,MM,MM
2024,06,12,02,30,90,0.5,MM,MM,MM,MM,MM,1014.0,11.8,MM,11.3,MM,MM,MM
2024,06,12,02,15,110,0.5,MM,MM,MM,MM,MM,1014.0,11.8,MM,11.2,MM,MM,MM
2024,06,12,02,00,MM,0.0,MM,MM,MM,MM,MM,1014.0,12.5,MM,11.9,MM,+0.0,MM
2024,06,12,01,45,MM,0.0,MM,MM,MM,MM,MM,1014.0,12.6,MM,12.0,MM,MM,MM
2024,06,12,01,30,80,0.5,MM,MM,MM,MM,MM,1014.0,12.7,MM,11.9,MM,MM,MM
2024,06,12,01,15,MM,0.0,MM,MM,MM,MM,MM,1014.0,13.1,MM,12.2,MM,MM,MM
2024,06,12,01,00,70,0.5,MM,MM,MM,MM,MM,1014.0,13.5,MM,12.6,MM,+1.0,MM
2024,06,12,00,45,50,0.5,MM,MM,MM,MM,MM,1014.0,14.1,MM,12.8,MM,MM,MM
2024,06,12,00,30,MM,0.0,MM,MM,MM,MM,MM,1014.0,14.5,MM,12.9,MM,MM,MM
2024,06,12,00,15,80,0.5,MM,MM,MM,MM,MM,1014.0,15.0,MM,13.1,MM,MM,MM
2024,06,12,00,00,MM,0.0,MM,MM,MM,MM,MM,1014.0,16.0,MM,13.2,MM,+1.0,MM
2024,06,11,23,45,MM,0.0,MM,MM,MM,MM,MM,1014.0,16.6,MM,13.0,MM,MM,MM
2024,06,11,23,30,MM,0.0,MM,MM,MM,MM,MM,1014.0,17.0,MM,12.8,MM,MM,MM
2024,06,11,23,15,MM,0.0,MM,MM,MM,MM,MM,1013.0,17.4,MM,13.0,MM,MM,MM
2024,06,11,23,00,140,0.5,MM,MM,MM,MM,MM,1014.0,17.7,MM,12.5,MM,+1.0,MM
2024,06,11,22,45,140,0.5,MM,MM,MM,MM,MM,1013.0,18.3,MM,13.3,MM,MM,MM
2024,06,11,22,30,140,0.5,MM,MM,MM,MM,MM,1013.0,18.5,MM,13.0,MM,MM,MM
2024,06,11,22,15,150,1.0,MM,MM,MM,MM,MM,1013.0,18.8,MM,13.1,MM,MM,MM
2024,06,11,22,00,150,0.5,MM,MM,MM,MM,MM,1013.0,18.8,MM,13.3,MM,+0.0,MM
2024,06,11,21,45,140,0.5,MM,MM,MM,MM,MM,1013.0,18.7,MM,13.2,MM,MM,MM
2024,06,11,21,30,150,1.0,MM,MM,MM,MM,MM,1013.0,18.7,MM,13.0,MM,MM,MM
2024,06,11,21,15,140,0.5,MM,MM,MM,MM,MM,1013.0,18.5,MM,13.2,MM,MM,MM
2024,06,11,21,00,140,0.5,MM,MM,MM,MM,MM,1013.0,18.5,MM,13.2,MM,+0.0,MM
2024,06,11,20,45,150,0.5,MM,MM,MM,MM,MM,1013.0,18.5,MM,13.0,MM,MM,MM
2024,06,11,20,30,160,0.5,MM,MM,MM,MM,MM,1013.0,18.6,MM,13.1,MM,MM,MM
2024,06,11,20,15,160,0.5,MM,MM,MM,MM,MM,1013.0,18.9,MM,13.4,MM,MM,MM
2024,06,11,20,00,140,0.5,MM,MM,MM,MM,MM,1013.0,18.9,MM,12.8,MM,+1.0,MM
2024,06,11,19,45,140,1.0,MM,MM,MM,MM,MM,1013.0,19.1,MM,12.9,MM,MM,MM
2024,06,11,19,30,150,1.0,MM,MM,MM,MM,MM,1013.0,19.3,MM,12.9,MM,MM,MM
2024,06,11,19,15,120,1.0,MM,MM,MM,MM,MM,1013.0,19.5,MM,13.1,MM,MM,MM
2024,06,11,19,00,120,1.0,MM,MM,MM,MM,MM,1013.0,19.3,MM,12.9,MM,+1.0,MM
2024,06,11,18,45,140,1.0,MM,MM,MM,MM,MM,1013.0,19.4,MM,12.8,MM,MM,MM
2024,06,11,18,30,120,1.0,MM,MM,MM,MM,MM,1013.0,19.7,MM,13.1,MM,MM,MM
2024,06,11,18,15,140,1.5,MM,MM,MM,MM,MM,1013.0,19.3,MM,12.7,MM,MM,MM
2024,06,11,18,00,140,1.5,MM,MM,MM,MM,MM,1013.0,19.8,MM,12.9,MM,+1.0,MM
2024,06,11,17,45,130,1.5,MM,MM,MM,MM,MM,1013.0,20.1,MM,13.2,MM,MM,MM
2024,06,11,17,30,120,1.0,MM,MM,MM,MM,MM,1013.0,20.8,MM,13.4,MM,MM,MM
2024,06,11,17,15,120,1.5,MM,MM,MM,MM,MM,1013.0,21.8,MM,13.8,MM,MM,MM
2024,06,11,17,00,50,1.0,MM,MM,MM,MM,MM,1012.0,21.0,MM,13.6,MM,+0.0,MM
2024,06,11,16,45,260,1.5,MM,MM,MM,MM,MM,1012.0,21.1,MM,13.4,MM,MM,MM
2024,06,11,16,30,270,1.5,MM,MM,MM,MM,MM,1012.0,20.2,MM,13.3,MM,MM,MM
2024,06,11,16,15,230,1.5,MM,MM,MM,MM,MM,1012.0,20.4,MM,13.3,MM,MM,MM
2024,06,11,16,00,260,1.0,MM,MM,MM,MM,MM,1012.0,20.0,MM,13.3,MM,+0.0,MM
2024,06,11,15,45,280,1.0,MM,MM,MM,MM,MM,1012.0,20.2,MM,12.8,MM,MM,MM
2024,06,11,15,30,MM,0.0,MM,MM,MM,MM,MM,1012.0,20.0,MM,12.6,MM,MM,MM
2024,06,11,15,15,270,1.0,MM,MM,MM,MM,MM,1012.0,19.4,MM,12.5,MM,MM,MM
2024,06,11,15,00,270,1.0,MM,MM,MM,MM,MM,1012.0,19.2,MM,12.6,MM,+0.0,MM
2024,06,11,14,45,270,1.5,MM,MM,MM,MM,MM,1012.0,19.8,MM,12.9,MM,MM,MM
2024,06,11,14,30,260,1.5,MM,MM,MM,MM,MM,1012.0,19.0,MM,13.1,MM,MM,MM
2024,06,11,14,15,280,1.5,MM,MM,MM,MM,MM,1012.0,18.0,MM,12.5,MM,MM,MM
