titles,distros,department,time,location,professor,description,courseNum,meet
Cultural Community Collaboration & Production,,Program in American Studies ,2:15pm-3:30pm,"Wright Memorial Theater SEM (WTH SEM)
		",Olga Sanchez Saltveit ,"
In this course we will produce the fourth annual Día de Muertos Celebration. The Celebration culminates in a community procession amid altars and performances honoring the Day of the Dead (November 2nd), contextualized by advance workshops and activities. The scope of this project requires planning with partners throughout campus, including students, staff, and faculty, as well as with regional community members. This experiential course will be modeled on Project Based Learning, as goals include engaging fruitfully with off-campus community, deepening cultural competencies, and strengthening project management skills. We will deepen our understanding of Mexican and Mexican-American cultures and contemporary Latinx experiences, as we plan and implement cultural events. Spanish-language skills are helpful but not required. This is a half-credit course. ",AMST0121A-F25,"Wednesday (Sep 8, 2025 to Oct 17, 2025)"
Immigrant America,AMR HIS ,Program in American Studies ,11:15am-12:30pm,"Axinn Center 219 (AXN 219)
		",Rachael Joo ,"
In this course we will trace American immigration history from the late 19th to the turn of the 21st century, and examine the essential place immigration has occupied in the making of modern America and American culture. The central themes of this course will be industrialization and labor migrations, aftermaths of wars and refugees, constructions of racial categories and ethnic community identities, legal defining of ""aliens"" and citizenship, and diversity in immigrant experiences. To explore these themes, we will engage a range of sources including memoirs, novels, oral histories, and films. ",AMST0175A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
Introduction to Latina/o Studies,AMR HIS NOR SOC ,Program in American Studies ,7:30pm-10:25pm,"Axinn Center 219 (AXN 219)
		",Roberto Lint Sagarena ,"
In this course we will undertake an interdisciplinary investigation of the unique experiences and conditions of U.S. Latina/os of Caribbean, Latin American, and Mexican descent. We will critically examine transnational cultures, patterns of circular migration, and intergenerational transformations from a historical perspective while also using methodologies from the humanities and social sciences. Topics will include the conquest of Mexico’s northern frontier, Chicana/o and Nuyorican movements, Latina feminist thought, Latina/o arts, Central American migrations in the 1980s, Latina/o religiosities, as well as philosophies of resistance and acculturation. 3 hrs. lect. ",AMST0213A-F25,"Wednesday (Sep 8, 2025 to Dec 8, 2025)"
See the U.S.A.: The History of Tourism in American Culture,AMR CW HIS NOR ,Program in American Studies ,11:15am-12:30pm,"Axinn Center 104 (AXN 104)
		",Deb Evans ,"
In this course, we will explore the history and evolution of American tourism, beginning in the 1820s, when middle-class tourists first journeyed up the Hudson River valley, and ending with our contemporary and continuing obsession with iconic destinations such as Graceland, Gettysburg, and the Grand Canyon. We will explore how the growth of national transportation systems, the development of advertising, and the rise of a middle class with money and time to spend on leisure shaped the evolution of tourism.  Along the way, we will study various types of tourism (such as historical, cultural, ethnic, eco-, and 'disaster' tourism) and look at the creative processes by which places are transformed into 'destinations'.  Our texts will come from visual art, travel literature, material culture, and film and television.  We will consider their cultural meaning and reflect on our own motivations and responses as tourists, and by so doing contemplate why tourism was-and still is-such an important part of American life. 3 hrs. lect. ",AMST0231A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
Science Fiction,LIT ,Program in American Studies ,2:15pm-3:30pm,"Axinn Center 220 (AXN 220)
		",Michael Newbury ,"
Time travel, aliens, androids, robots, corporate and political domination, reimaginings of race, gender, sexuality and the human body--these concerns have dominated science fiction over the last 150 years.  But for all of its interest in the future, science fiction tends to focus on technologies and social problems relevant to the period in which it is written. In this course, we'll work to understand both the way that authors imagine technology's role in society and how those imaginings create meanings for science and its objects of study and transformation.  Some likely reading and films include Mary Shelley, Frankenstein, H. G. Wells, The Island of Doctor Moreau, Ridley Scott, Blade Runner, and works by William Gibson, Ursula LeGuin, Octavia Butler and other contemporary writers. (Students who have taken FYSE 1162 are not eligible to register for this course). 3 hrs. lect./disc. ",AMST0253A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
Music and Social Power in American Culture,CMP LIT ,Program in American Studies ,9:45am-11:00am,"Axinn Center 219 (AXN 219)
		",William Nash ,"
Although many people associate the idea of “protest songs” primarily with the countercultural upheaval of the 1960s, popular music’s connection to cultural politics is much more complicated. In this course we will explore the relationship between music and social power in the United States from the antebellum period to the present. Using a combination of historical and ethnomusicological analysis, we will consider how and why music has been used for social influence in various historical moments. Topics may include 19th century campaign songs; music and abolitionism; folk ballads as a mechanism for social control; the political uses of country music; the protest songs and freedom songs of the 1960s; rock ‘n’ roll as social protest; and the cultural work of hip-hop. ",AMST0257A-F25,"Monday, Wednesday (Sep 8, 2025 to Dec 8, 2025)"
NA,AMR ART CW NOR ,Program in American Studies ,9:45am-11:00am,"Axinn Center 220 (AXN 220)
		",Ellery Foutch ,NA,AMST0273A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
"Viewer Discretion Advised: Controversies in American Art & Museums, 1876-Present",AMR ART HIS ,Program in American Studies ,2:15pm-3:30pm,"Axinn Center 220 (AXN 220)
		",Ellery Foutch ,"
What are the “culture wars,” and why do they matter? What ideas are considered too “obscene” for American audiences? In this course we will explore controversies and scandals sparked by public displays of art in the U.S. including: Eakins’s Gross Clinic (1876), seen as too “bloody” for an art exhibition; the U.S. Navy’s objections to Paul Cadmus’s painting of sailors (1934); censorship and NEA budget cuts (Mapplethorpe & Serrano, 1989); backlash to The West as America’s deconstruction of myths of the frontier (1991); tensions surrounding Colonial Williamsburg’s “slave auction” reenactment (1994); debates over the continued display (and occasional defacement) of Confederate monuments in the era of the Black Lives Matter Movement.  3 hrs. lect./disc. (any one course in AMST, HARC, HAMS, or ART or by permission of the instructor.) ",AMST0281A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
"Posthuman Medicine: Morals, Machines, and Bodies",LIT ,Program in American Studies ,11:15am-12:30pm,"Axinn Center 220 (AXN 220)
		",Michael Newbury ,"
Medical treatments and technologies now keep people alive when they once surely would have died. But the increasing power of medicine has also raised nightmarish possibilities of lives controlled, squandered, or sacrificed to a system that often alienates patients, is centered on profit, and has a long history of treating marginal populations recklessly. How do science fiction writers, doctors, film makers, memoirists, and healthcare corporations portray an ever more medicalized vision of human experience and human bodies? Texts and films for the course will include HG Wells, The Island of Doctor Moreau, Atul Gawande, Complications; Octavia Butler, Clay’s Ark; Michael Gondry, Eternal Sunshine of the Spotless Mind, Karen Russell, Sleep Donation, and Kazuo Ishiguro, Never Let Me Go. ",AMST0287A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
Humanitarian Visas in Vermont and Beyond,AMR ,Program in American Studies ,12:45pm-2:00pm,"Axinn Center 104 (AXN 104)
		",Rachael Joo ,"
This public humanities lab course will engage the topic of humanitarian visas in Vermont and beyond the state. We will learn about the various forms of humanitarian visas as historically defined by the US government including visas for refugees, asylees, trafficked people, and those who qualify for temporary protected status. We will study the histories of refugee resettlement in Vermont and learn from organizations that advocate on behalf of migrants. ",AMST0343A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
Theory and Method in American Studies (Junior Year),,Program in American Studies ,2:15pm-3:30pm,"Axinn Center 220 (AXN 220)
		",Holly Allen ,"
A reading of influential secondary texts that have defined the field of American Studies during the past fifty years.  Particular attention will be paid to the methodologies adopted by American Studies scholars, and the relevance these approaches have for the writing of senior essays and theses. (Open to junior American studies majors only.) 3 hrs. lect./disc. ",AMST0400A-F25,"Monday, Wednesday (Sep 8, 2025 to Dec 8, 2025)"
Diversity and Human Nature: Introduction to Cultural Anthropology,CMP SOC ,Anthropology ,9:45am-10:35am,"Axinn Center 229 (AXN 229)
		",Michael Sheridan ,"
This course introduces students to the varieties of human experience in social life and to the differing approaches and levels of analysis used by anthropologists to explain it. Topics include: culture and race, rituals and symbolism, kinship and gender roles, social evolution, political economy, and sociolinguistics. Ethnographic examples are drawn chiefly from non-Western societies, from simple bands to great agrarian states. The ultimate aim is to enable students to think critically about the bases of their own culture and about practices and beliefs previously unanalyzed and unexamined. (formerly SOAN 0103) 2 hrs. lect./1 hr. disc. ",ANTH0103A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
The Rise and Fall of the Ancient Maya,AMR SOC ,Anthropology ,9:45am-11:00am,"Munroe Hall 311 (MNR 311)
		",James Fitzsimmons ,"
As perhaps the most famous of all of the cultures of Mesoamerica, the Maya are best known for soaring temples, portraits of kings, a complex hieroglyphic writing system, and a dramatic collapse when their ancient kingdoms were abandoned or destroyed. In this course, we will view their accomplishments through the archaeology of the Classic Period (250-850 AD) and examine how the Maya built cities within the tropical jungles of present-day Mexico, Guatemala, Belize, El Salvador, and Honduras. We will also explore the history of the Maya after the “fall,” from their revival in the post-Classic Period to the present day. (formerly SOAN 0328) 3 hrs. lect./disc ",ANTH0228A-F25,"Monday, Wednesday (Sep 8, 2025 to Dec 8, 2025)"
"Africa and Anthropology: Power, Continuity, and Change",HIS SAF SOC ,Anthropology ,11:15am-12:30pm,"Munroe Hall 311 (MNR 311)
		",Michael Sheridan ,"
Sub-Saharan Africa has long represented primitive mysteries for Europeans and North Americans, as a ‘Dark Continent’ full of exotic people and animals. Even now, many Americans learn little about Africa and Africans except for ‘thin’ media reports of political, economic, and ecological upheaval or persistent poverty, disease, and despair. This course provides a ‘thick’ description and analysis of contemporary African conditions using ethnographies and films. We will not be exploring ‘traditional African cultures’ outside of their historical contexts or generalizing about ‘what African culture really is.’ Rather, our focus will be on understanding social continuity and change alongside cultural diversity and commonality. Topics will include colonialism, critical kinship studies, African feminism, environmental management, witchcraft and religion. Throughout the course African ideas of power – what it is, who has it, and why –unify these diverse topics as social relations. (formerly SOAN 0232) 3 hrs. lect. ",ANTH0232A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
Law and Politics,CMP SOC ,Anthropology ,11:15am-12:30pm,"Axinn Center 220 (AXN 220)
		",Fulya Pinar ,"
In this course we will explore how societies construct, negotiate, and contest political systems and legal frameworks in diverse contexts from an anthropological perspective. We will begin by examining anthropological perspectives on politics and laws across various social structures. We will then discuss dissent, protests, and social movements (e.g., Occupy, Arab Spring, Black Lives Matter). We will inquire into what defines the realms of the political and legal, probing how certain aspects of social life have been structured in explicitly apolitical and non-legal terms. Assigned materials are theoretical and ethnographic readings, supplemented by interdisciplinary and primary sources. The class format includes lectures, media, and group discussion. Students will gain a nuanced understanding of governance, power dynamics, legal norms, and social movements through this course. ",ANTH0242A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
The Research Process: Ethnography and Qualitative Methods,CW ,Anthropology ,2:15pm-3:30pm,"Munroe Hall 409 (MNR 409)
		",Fulya Pinar ,"
The aim of this course is to prepare the student to conduct research, to analyze and present research in a scholarly manner, and to evaluate critically the research of others. Practice and evaluation of such basic techniques as observation, participant-observation, structured and open-ended interviews, and use of documents. Introduction to various methodological and theoretical frameworks. Thesis or essay prospectus is the final product of this course. Strongly recommended for juniors. One-hour research lab required. (Any 100 level ANTH or SOCI course, or by permission)  3 hrs. lect./disc./1 hr. research lab ",ANTH0302A-F25,"Tuesday, Thursday (Sep 8, 2025 to Dec 8, 2025)"
The Anthropology of China,HIS NOA SOC ,Anthropology ,9:45am-11:00am,"Munroe Hall 217 (MNR 217)
		",Ellen Oxfeld ,"
China serves as a case study in the anthropological analysis of a complex rapidly changing non-Western society. This course will be a survey of the principal institutions and ideas that form the background to modern Chinese society. Areas covered include: family and kinship, ritual, transformations of class hierarchies, and the impact of globalization. Materials will be drawn from descriptions of traditional, contemporary (including both mainland and Taiwanese settings), and overseas contexts. (formerly SOAN 0335)  3 hrs. lect./disc. ",ANTH0335A-F25,"Monday, Wednesday (Sep 8, 2025 to Dec 8, 2025)"
The Anthropology of Food,CMP SOC ,Anthropology ,2:15pm-3:30pm,"Munroe Hall 217 (MNR 217)
		",Ellen Oxfeld ,"
Food not only sustains bodies, but also reflects and shapes cultures, social identities, and systems of power.  In this course we examine the relationship between food and culture.  Beginning with an examination of the origins of cooking, we will go on to analyze a variety of approaches to understanding the food/culture/society relationship.  These include the symbolic meanings of food, the role of food in constructing social and cultural identities, and the relationship between food and political and economic systems.   Our examples will be cross-cultural (Africa, South and East Asia, Europe, and the Americas). 3 hrs. sem. ",ANTH0345A-F25,"Monday, Wednesday (Sep 8, 2025 to Dec 8, 2025)"
Death and the Body,AMR CMP SOC ,Anthropology ,12:45pm-2:00pm,"Munroe Hall 317 (MNR 317)
		",James Fitzsimmons ,"
This course will provide an overview of how archaeologists and anthropologists encounter and interpret death in societies worldwide.  We will look at death and the body from the perspective of burials and tombs, discussing ancient and modern conceptions of souls, afterlives, and identities.  Drawing upon my own research in the tropical lowlands of Guatemala and Honduras, we will compare Maya attitudes towards death with those of other world societies, from the mummies of ancient Egypt to modern jazz funerals in New Orleans.  We will explore different ideas about death, social boundaries, and even what it is to be human. 3 hrs. lect. ",ANTH0357A-F25,"Monday, Wednesday (Sep 8, 2025 to Dec 8, 2025)"
Beginning Arabic I,LNG ,Arabic ,2:15pm-3:30pm,"Mahaney Center for the Arts 125 (MAC 125)
		",Dima Ayoub ,"
The goal of this course is to begin developing reading, speaking, listening, writing, and cultural skills in Arabic. This course stresses written and oral communication, using both formal Arabic and some Egyptian dialect. Emphasis is also placed on reading authentic texts from Arabic media sources, listening to and watching audio and video materials, and developing students' understanding of Arab culture. 6 hrs lect/disc. ",ARBC0101A-F25,"Tuesday, Thursday at MAC 125 (Sep 8, 2025 to Dec 8, 2025)
2:15pm-3:30pm on Monday, Wednesday at MAC 125 (Sep 8, 2025 to Dec 8, 2025)"
Beginning Arabic I,LNG ,Arabic ,9:45am-11:00am,"Library 230 (LIB 230)
		",Maryait Khader ,"
The goal of this course is to begin developing reading, speaking, listening, writing, and cultural skills in Arabic. This course stresses written and oral communication, using both formal Arabic and some Egyptian dialect. Emphasis is also placed on reading authentic texts from Arabic media sources, listening to and watching audio and video materials, and developing students' understanding of Arab culture. 6 hrs lect/disc. ",ARBC0101B-F25,"Tuesday, Thursday at LIB 230 (Sep 8, 2025 to Dec 8, 2025)
9:45am-11:00am on Monday, Wednesday at LIB 230 (Sep 8, 2025 to Dec 8, 2025)"
Intermediate Arabic I,LNG ,Arabic ,8:15am-9:30am,"Freeman CK2 (FIC CK2)
		",Samuel Liebhaber ,"
This course is a continuation of ARBC 0103. Emphasis is placed on reading authentic materials from Arabic media, expanding students' vocabulary, listening to and watching audio and video materials, and developing students' understanding of Arab culture and communicative competence. (ARBC 0103 or equivalent) 6 hrs. lect/disc ",ARBC0201A-F25,"Monday, Wednesday at FIC CK2 (Sep 8, 2025 to Dec 8, 2025)
8:40am-9:30am on Tuesday, Thursday at FIC CK2 (Sep 8, 2025 to Dec 8, 2025)"
Intermediate Arabic I,LNG ,Arabic ,11:15am-12:30pm,"Library 230 (LIB 230)
		",Maryait Khader ,"
This course is a continuation of ARBC 0103. Emphasis is placed on reading authentic materials from Arabic media, expanding students' vocabulary, listening to and watching audio and video materials, and developing students' understanding of Arab culture and communicative competence. (ARBC 0103 or equivalent) 6 hrs. lect/disc ",ARBC0201B-F25,"Tuesday, Thursday at LIB 230 (Sep 8, 2025 to Dec 8, 2025)
11:15am-12:30pm on Monday, Wednesday at LIB 230 (Sep 8, 2025 to Dec 8, 2025)"
