titles,distros,department,time,location,professor,description,courseNum,meet
Introduction to American Studies: American Representations of Crime and Violence,AMR CMP ,Program in American Studies ,12:45pm-2:00pm,"Axinn Center 104 (AXN 104)
		",Roberto Lint ,"
In this course we will offer an introduction to the interdisciplinary study of American culture and identity. Integrating a range of sources and methods, we will examine myths, symbols, values, and social changes that have been used to create and contest ideas of ""Americanness."" Sources for the course will include movies, fiction, political and religious tracts, advertising, TV shows, video games, music, and journalism. This year, we will focus on American portrayals of crime and violence in a wide range of texts and cultural artifacts that provide us with a larger sense of how these representations function in the formation of categories of gender and sexuality, race and ethnicity, ethics and religion, as well as socio-economic class in American society. Texts and films will likely range from true crime shows to Tarantino’s Pulp Fiction and from street to war photography. 3 hrs. lect. ",AMST0101A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Immigrant America,AMR HIS ,Program in American Studies ,11:15am-12:30pm,"Axinn Center 103 (AXN 103)
		",Rachael Joo ,"
In this course we will trace American immigration history from the late 19th to the turn of the 21st century, and examine the essential place immigration has occupied in the making of modern America and American culture. The central themes of this course will be industrialization and labor migrations, aftermaths of wars and refugees, constructions of racial categories and ethnic community identities, legal defining of ""aliens"" and citizenship, and diversity in immigrant experiences. To explore these themes, we will engage a range of sources including memoirs, novels, oral histories, and films. ",AMST0175A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
American Literature and Culture: Origins-1830,AMR LIT ,Program in American Studies ,11:15am-12:30pm,"Axinn Center 229 (AXN 229)
		",Ellery Foutch ,"
A study of literary and other cultural forms in early America, including gravestones, architecture, furniture and visual art.  We will consider how writing and these other forms gave life to ideas about religion, diversity, civic obligation and individual rights that dominated not only colonial life but that continue to influence notions of ""Americanness"" into the present day. Required for all majors and minors.3 hrs. lect./disc. ",AMST0209A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Introduction to Latina/o Studies,AMR HIS NOR SOC ,Program in American Studies ,1:30pm-4:15pm,"Twilight Hall 302 (AXT 302)
		",Roberto Lint ,"
In this course we will undertake an interdisciplinary investigation of the unique experiences and conditions of U.S. Latina/os of Caribbean, Latin American, and Mexican descent. We will critically examine transnational cultures, patterns of circular migration, and intergenerational transformations from a historical perspective while also using methodologies from the humanities and social sciences. Topics will include the conquest of Mexico’s northern frontier, Chicana/o and Nuyorican movements, Latina feminist thought, Latina/o arts, Central American migrations in the 1980s, Latina/o religiosities, as well as philosophies of resistance and acculturation. 3 hrs. lect. ",AMST0213A-F23,"Thursday (Sep 11, 2023 to Dec 11, 2023)"
Gothic and Horror,AMR HIS NOR ,Program in American Studies ,2:15pm-3:30pm,"Warner Hall 011 (WNS 011)
		",Michael Newbury ,"
This course examines the forms and meanings of the Gothic and horror over the last 250 years in the West. How have effects of fright, terror, or awe been achieved over this span and why do audiences find such effects attractive? Our purpose will be to understand the generic structures of horror and their evolution in tandem with broader cultural changes. Course materials will include fiction, film, readings in the theory of horror, architecture, visual arts, and electronic media. 3 hrs. lect./disc. 3 hrs lect. ",AMST0225A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
American Consumer Culture,AMR HIS ,Program in American Studies ,9:45am-11:00am,"Axinn Center 103 (AXN 103)
		",Holly Allen ,"
For many Americans in the 20th century, consumer goods came to embody the promise of the ""good life.""  Yet mass consumption also fostered economic, political, and social inequalities and engendered anti-consumerist activism. In this course we will pursue an interdisciplinary approach to American consumer culture, focusing on the rise of commercialized leisure and advertising; the role of radio, television, and film in shaping consumer practices; and the relationship of consumerism to social inequality and democratic citizenship. Readings will include works by Veblen, Marcuse, Bordieu, Marchand, Cohen, and Schor.  3 hrs. lect. ",AMST0234A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Constructing Memory: American Monuments and Memorials,AMR ART ,Program in American Studies ,1:30pm-4:15pm,"Ross Commons Dining 011 (RCD 011)
		",Deb Evans ,"
“Democracy has no monuments,” John Quincy Adams once famously argued.   “It strikes no medals; it bears the head of no man upon its coin; its very essence is iconoclastic.”  Yet nearly 250 years after America’s founding, monuments and memorials surround us. In this course we will explore the memorializing impulse; the complexity and depth of emotion evoked by memorial acts; and the oftentimes heated controversies about modes, placement, and subject of representation.  We will consider how and why America chooses to memorialize certain people and events, and what is gained—and sometimes erased—in the process.  By choosing among a broad range of traditional and non-traditional modes of representation, we will consider how public memorials both reflect and shape Americans’ shared cultural values.  The course will include site visits to local monuments and projects in which we propose designs or redesigns of memorials for a 21st century audience. ",AMST0251A-F23,"Tuesday (Sep 11, 2023 to Dec 11, 2023)"
African American Literature,AMR LIT ,Program in American Studies ,9:45am-11:00am,"Axinn Center 219 (AXN 219)
		",William Nash ,"
This course surveys developments in African American fiction, drama, poetry, and essays during the 20th century. Reading texts in their social, historical, and cultural contexts—and often in conjunction with other African American art forms like music and visual art—we will explore the evolution and deployment of various visions of black being and black artistry, from the Harlem Renaissance through social realism and the Black Arts Movement, to the contemporary post-soul aesthetic. Authors may include Langston Hughes, Zora Neale Hurston, Gwendolyn Brooks, Ralph Ellison, Lorraine Hansberry, Amiri Baraka, Ishmael Reed, Toni Morrison, Charles Johnson, and Octavia Butler. This course may also be counted as a general elective or REC elective for the ENAM major.  3 hrs lect./disc. (Diversity)/ ",AMST0252A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
"American Disability Studies: History, Meanings, and Cultures",AMR HIS SOC ,Program in American Studies ,11:15am-12:30pm,"Axinn Center 103 (AXN 103)
		",Susan Burch ,"
In this course we will examine the history, meanings, and realities of disability in the United States. We will analyze the social, political, economic, environmental, and material factors that shape the meanings of ""disability,"" examining changes and continuities over time. Students will draw critical attention to the connections between disability, race, ethnicity, gender, sexuality, socioeconomic status, and age in American and transnational contexts. Diverse sources, including films and television shows, music, advertising, fiction, memoirs, and material objects, encourage inter and multi-disciplinary approaches to disability. Central themes we consider include language, privilege, community, citizenship, education, medicine and technology, and representation. ",AMST0260A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Chicagoland,AMR HIS ,Program in American Studies ,11:15am-12:30pm,"Gifford LCT (GFD LCT)
		",Jim Ralph Tim Spears ,"
In this course we will explore Chicago’s significance by focusing on its physical and spatial character. Moving from the 19th to the 21st century, we will examine the 1871 fire; the 1893 World’s Fair; the settlement house movement; the rise of modern architecture; the emergence of Black Chicago and development of a multi-ethnic, multi-class metropolis spread across various neighborhoods and suburbs; and recent planning efforts to revitalize the city as a space for all Chicagoans. Interdisciplinary in scope, the course will draw on a range of texts and theoretical perspectives to show the generative importance of Chicago’s rich and varied landscape. 3 hrs. lect. ",AMST0264A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
"Posthuman Medicine: Morals, Machines, and Bodies",LIT ,Program in American Studies ,11:15am-12:30pm,"Axinn Center 104 (AXN 104)
		",Michael Newbury ,"
Medical treatments and technologies now keep people alive when they once surely would have died. But the increasing power of medicine has also raised nightmarish possibilities of lives controlled, squandered, or sacrificed to a system that often alienates patients, is centered on profit, and has a long history of treating marginal populations recklessly. How do science fiction writers, doctors, film makers, memoirists, and healthcare corporations portray an ever more medicalized vision of human experience and human bodies? Texts and films for the course will include HG Wells, The Island of Doctor Moreau, Atul Gawande, Complications; Octavia Butler, Clay’s Ark; Michael Gondry, Eternal Sunshine of the Spotless Mind, Karen Russell, Sleep Donation, and Kazuo Ishiguro, Never Let Me Go. ",AMST0287A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
Issues in Critical Disability Studies: U.S. and the World,AMR CMP HIS SOC ,Program in American Studies ,2:15pm-3:30pm,"Axinn Center 219 (AXN 219)
		",Susan Burch ,"
Disability as a category and as lived experience plays an important but often overlooked role in national, transnational, and global contexts. In this course we will explore disability’s changing meanings in the United States and around the World. Comparative and transnational approaches will draw our attention to disability’s many meanings across wide-ranging historical, cultural, and geographical settings. Foundational concepts and principles, including ableism and Universal Design, shape our critical inquiry. Key themes frame the course: access, language, power, violence, normalcy, identity, community, institutions, and rights and justice. We will engage with diverse primary sources, from memoirs and documentary films to advertisements, material objects, and oral histories. 3 hrs. lect. ",AMST0307A-F23,"Monday, Wednesday (Sep 11, 2023 to Dec 11, 2023)"
Vermont Collaborations Public Humanities Lab,,Program in American Studies ,2:15pm-3:30pm,"Le Chateau 107 (CHT 107)
		",Ellery Foutch ,"
In collaboration with local archives, museums, and community organizations, we will work closely with primary sources, learning skills of transcription, analysis, and interpretation; in the spirit of Public Humanities, we will share this scholarship with the broader community, whether in the form of an exhibition, a publication, a website, podcasts, or other digital media. The focus will change annually or by sections, but this project-based course will emphasize place-based experiential learning and community partnerships in its critical engagement with histories of collections and archives. This course is part of the Public Humanities Labs Initiative administered by the Axinn Center for the Humanities.
2021 marked the bicentennial of the birth of Henry Luther Sheldon, founder of Middlebury’s Sheldon Museum of Vermont History (founded 1881) and 2022 marked the fiftieth anniversary of the Research Center. In this course we will mine the Archives of the Sheldon Museum for information about the early years of the museum’s establishment, exploring institutional history, histories of collecting, and local history, alongside a critical investigation of how archives and collections are formed, developed, and made legible (or illegible) to broader publics. 3 hrs. Sem. ",AMST0314A-F23,"Tuesday, Thursday (Sep 11, 2023 to Dec 11, 2023)"
